id,name,preferences,artists
1,Alice,"Pop,Rock","Taylor Swift,BTS"
2,Bob,"Jazz,Classical","Mozart,Miles Davis"
3,Charlie,"Pop,Jazz","Ed Sheeran,Coltrane"
4,Diana,"Rock,Electronic","Daft Punk,Coldplay"
5,Eve,"Hip-Hop,Pop","Eminem,Drake"
6,Frank,"Jazz,Classical","Beethoven,Miles Davis"
7,Grace,"Pop,Rock","Adele,Queen"
8,Hank,"Hip-Hop,Pop","Kanye West,Drake"
9,Ivy,"Rock,Electronic","Imagine Dragons,Daft Punk"
10,Jack,"Pop,Jazz","Bruno Mars,Coltrane"
11,Kevin,"Electronic,Rock","Zedd,Queen"
12,Lily,"Classical,Jazz","Chopin,Mozart"
13,Mason,"Hip-Hop,Pop","Kendrick Lamar,Eminem"
14,Nina,"Pop,Electronic","Calvin Harris,Ed Sheeran"
15,Oscar,"Rock,Jazz","Queen,Coltrane"
16,Paula,"Classical,Electronic","Beethoven,Daft Punk"
17,Quinn,"Pop,Hip-Hop","Drake,Post Malone"
18,Ruby,"Jazz,Rock","Louis Armstrong,Queen"
19,Steve,"Electronic,Classical","Deadmau5,Mozart"
20,Tina,"Pop,Rock","Adele,Imagine Dragons"
